@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_data_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
31,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.752,ok
31,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.708,ok
31,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.732,ok
31,1,6409_weka.FilteredClassifier_NaiveBayes,0.753,ok
31,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.759,ok
31,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.764,ok
31,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.706,ok
32,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.995724,ok
32,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.965247,ok
32,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.993905,ok
32,1,6409_weka.FilteredClassifier_NaiveBayes,0.857533,ok
32,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.955149,ok
32,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.991721,ok
32,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
2079,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.648098,ok
2079,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.625,ok
2079,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.532609,ok
2079,1,6409_weka.FilteredClassifier_NaiveBayes,0.527174,ok
2079,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.646739,ok
2079,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.619565,ok
2079,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.596467,ok
36,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.973593,ok
36,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.961905,ok
36,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.973593,ok
36,1,6409_weka.FilteredClassifier_NaiveBayes,0.803463,ok
36,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.955411,ok
36,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.980952,ok
